"","Judge.Identification.Number","Judge.Last.Name","Judge.First.Name","Judge.Middle.Name","Birth.year","Place.of.Birth..City.","Place.of.Birth..State.","Gender","Race.or.Ethnicity","Name.of.School","place","name","decade","lon","lat"
"523",2039,"Rogers","Henry","Wade",1853,"Holland Patent","NY","M","White","University of Michigan","Holland Patent, NY","Rogers, Henry",1850,-75.2568337,43.2417364
"524",2046,"Rose","John","Carter",1861,"Baltimore","MD","M","White","University of Maryland School of Law","Baltimore, MD","Rose, John",1860,-76.6121893,39.2903848
"525",2050,"Rosenberg","Louis"," ",1898,"Beaver Falls","PA","M","White","Duquesne University School of Law","Beaver Falls, PA","Rosenberg, Louis",1890,-80.3192295,40.7520097
"526",2059,"Ross","John","Rolly",1899,"Boston","MA","M","White","University of Nevada, Reno","Boston, MA","Ross, John",1890,-71.0597732,42.3584308
"527",2060,"Ross","John","William",1878,"Hardin County","TN","M","White","Cumberland School of Law","Hardin County, TN","Ross, John",1870,-88.2461183,35.1142443
"528",2070,"Rudkin","Frank","H.",1864,"Vernon","OH","M","White","Washington and Lee University","Vernon, OH","Rudkin, Frank",1860,-80.5686845,41.3864438
"529",2071,"Runyon","William","Nelson",1871,"Plainfield","NJ","M","White","Yale University","Plainfield, NJ","Runyon, William",1870,-74.4073736,40.6337136
"530",2075,"Russell","Gordon","James",1859,"Huntsville","AL","M","White","University of Georgia","Huntsville, AL","Russell, Gordon",1850,-86.5861037,34.7303688
"531",2079,"Rutledge","Wiley","Blount",1894,"Cloverport","KY","M","White","University of Wisconsin","Cloverport, KY","Rutledge, Wiley",1890,-86.6327615,37.8333901
"532",2082,"Ryan","Sylvester","J.",1896,"New York","NY","M","White","City College of New York","New York, NY","Ryan, Sylvester",1890,-74.0059413,40.7127837
"533",2091,"Sames","Albert","Morris",1873,"Rockford","IL","M","White","University of Wisconsin Law School","Rockford, IL","Sames, Albert",1870,-89.0939952,42.2711311
"534",2092,"Sanborn","Arthur","Loomis",1850,"Brasner Falls","NY","M","White","University of Wisconsin Law School","Brasner Falls, NY","Sanborn, Arthur",1850,-74.778056,44.801667
"535",2093,"Sanborn","John","Benjamin",1883,"St. Paul","MN","M","White","University of Minnesota","St. Paul, MN","Sanborn, John",1880,-93.0899578,44.9537029
"536",2098,"Sanford","Edward","Terry",1865,"Knoxville","TN","M","White","University of Tennessee","Knoxville, TN","Sanford, Edward",1860,-83.9207392,35.9606384
"537",2102,"Sater","John","Elbert",1854,"New Haven","OH","M","White","Marietta College","New Haven, OH","Sater, John",1850,-82.6820783,41.0324766
"538",2103,"Saunders","Eugene","Davis",1853,"Campbell County","VA","M","White","University of Virginia School of Law","Campbell County, VA","Saunders, Eugene",1850,-79.1096901,37.221014
"539",2105,"Sawtelle","William","Henry",1868,"Tuscumbia","AL","M","White","Read law","Tuscumbia, AL","Sawtelle, William",1860,-87.70253,34.7312005
"540",2109,"Scarlett","Francis","Muir",1891,"Brunswick","GA","M","White","University of Georgia School of Law","Brunswick, GA","Scarlett, Francis",1890,-81.4914894,31.1499528
"541",2116,"Schnackenberg","Elmer","Jacob",1889,"Indianapolis","IN","M","White","University of Chicago Law School","Indianapolis, IN","Schnackenberg, Elmer",1880,-86.158068,39.768403
"542",2117,"Schofield","William"," ",1857,"Dudley","MA","M","White","Harvard Law School","Dudley, MA","Schofield, William",1850,-71.9276033,42.0433661
"543",2118,"Schoonmaker","Frederic","Palen",1870,"Limestone","NY","M","White","Cornell University","Limestone, NY","Schoonmaker, Frederic",1870,-78.6294717,42.0272856
"544",2127,"Schwellenbach","Lewis","Baxter",1894,"Superior","WI","M","White","University of Washington School of Law","Superior, WI","Schwellenbach, Lewis",1890,-92.1040796,46.7207737
"545",2130,"Scott","George","Cromwell",1864,"Monroe County","NY","M","White","Read law","Monroe County, NY","Scott, George",1860,-77.7452081,43.2841246
"546",2144,"Sessions","Clarence","W.",1859,"Ionia County","MI","M","White","University of Michigan","Ionia County, MI","Sessions, Clarence",1850,-85.023346,42.9892119
"547",2164,"Shaw","Elwyn","Riley",1888,"Lyndon","IL","M","White","University of Michigan Law School","Lyndon, IL","Shaw, Elwyn",1880,-89.9259481,41.7175302
"548",2169,"Shelbourne","Roy","Mahlon",1890,"Bardwell","KY","M","White","Union University, Jackson, Tennessee","Bardwell, KY","Shelbourne, Roy",1890,-89.0097869,36.8706111
"549",2174,"Sheppard","William","Bostwick",1860,"Bristol","FL","M","White","University of North Carolina","Bristol, FL","Sheppard, William",1860,-84.9757496,30.4321407
"550",2186,"Sibley","Samuel","Hale",1873,"Union Point","GA","M","White","University of Georgia","Union Point, GA","Sibley, Samuel",1870,-83.0745969,33.6156831
"551",2187,"Siddons","Frederick","Lincoln",1864,"London","England","M","White","Columbian University School of Law (now George Washington University Law School)","London, England","Siddons, Frederick",1860,-0.1277583,51.5073509
"552",2193,"Simons","Charles","Casper",1876,"Detroit","MI","M","White","University of Michigan","Detroit, MI","Simons, Charles",1870,-83.0457538,42.331427
"553",3250,"Sinnott","Nicholas","John",1870,"The Dalles","OR","M","White","University of Notre Dame","The Dalles, OR","Sinnott, Nicholas",1870,-121.1786823,45.5945645
"554",2206,"Slick","Thomas","Whitten",1869,"South Bend","IN","M","White","University of Michigan Law School","South Bend, IN","Slick, Thomas",1860,-86.2519898,41.6763545
"555",2759,"Sloan","Richard","Elihu",1857,"Preble Co.","OR","M","White","Monmouth College","Preble Co., OR","Sloan, Richard",1850,,
"556",2207,"Sloan","William","Boyd",1895,"Gainesville","GA","M","White","Read law","Gainesville, GA","Sloan, William",1890,-83.8240663,34.2978794
"557",2217,"Smith","Henry","Augustus Middleton",1853,"Charleston","SC","M","White","College of Charleston","Charleston, SC","Smith, Henry",1850,-79.9310512,32.7764749
"558",3333,"Smith","James","Francis",1859,"San Francisco","CA","M","White","Santa Clara College (now Santa Clara University)","San Francisco, CA","Smith, James",1850,-122.4194155,37.7749295
"559",2228,"Smith","Talbot"," ",1899,"Fayette","MO","M","White","U.S. Naval Academy","Fayette, MO","Smith, Talbot",1890,-92.6837943,39.1458654
"560",2229,"Smith","Walter","Inglewood",1862,"Council Bluffs","IA","M","White","Read law","Council Bluffs, IA","Smith, Walter",1860,-95.8608333,41.2619444
"561",2232,"Smith","William","Robert",1863,"Smith County","TX","M","White","Sam Houston Normal Institute","Smith County, TX","Smith, William",1860,-95.3102505,32.3352505
"562",2233,"Smyth","Constantine","Joseph",1859,"County Cavan","Ireland","M","White","Read law","County Cavan, Ireland","Smyth, Constantine",1850,-7.2996623,53.9765424
"563",2237,"Sobeloff","Simon","E.",1894,"Baltimore","MD","M","White","University of Maryland School of Law","Baltimore, MD","Sobeloff, Simon",1890,-76.6121893,39.2903848
"564",2241,"Soper","Morris","Ames",1873,"Baltimore","MD","M","White","Johns Hopkins University","Baltimore, MD","Soper, Morris",1870,-76.6121893,39.2903848
"565",2246,"Sparks","William","Morris",1872,"Charlottesville","IN","M","White","DePauw University","Charlottesville, IN","Sparks, William",1870,-85.6127533,39.7903221
"566",2249,"Speakman","Howard","C.",1892,"Skidmore","MO","M","White","University of Oklahoma","Skidmore, MO","Speakman, Howard",1890,-95.0785525,40.2888803
"567",2261,"St. Sure","Adolphus","Frederic",1869,"Sheboygan","WI","M","White","Read law","Sheboygan, WI","St. Sure, Adolphus",1860,-87.71453,43.7508284
"568",2263,"Stafford","Wendell","Phillips",1861,"Barre","VT","M","White","Boston University School of Law","Barre, VT","Stafford, Wendell",1860,-72.5020494,44.1970055
"569",2277,"Starr","Raymond","Wesley",1888,"Harbor Springs","MI","M","White","University of Michigan Law School","Harbor Springs, MI","Starr, Raymond",1880,-84.9919992,45.4316759
"570",2284,"Stephens","Albert","Lee",1874,"State Line City","IN","M","White","Read law","State Line City, IN","Stephens, Albert",1870,-87.5270582,40.1972073
"571",2285,"Stephens","Harold","Montelle",1886,"Crete","NE","M","White","Cornell University","Crete, NE","Stephens, Harold",1880,-96.9615141,40.6252173
"572",2299,"Stone","Harlan","Fiske",1872,"Chesterfield","NH","M","White","Amherst College","Chesterfield, NH","Stone, Harlan",1870,-72.470278,42.887222
"573",2300,"Stone","Kimbrough"," ",1875,"Nevada","MO","M","White","University of Missouri","Nevada, MO","Stone, Kimbrough",1870,-94.3546719,37.8392052
"574",2301,"Stone","Patrick","Thomas",1889,"Pembroke, Ontario","Canada","M","White","Marquette University Law School","Pembroke, Ontario, Canada","Stone, Patrick",1880,-77.1108826,45.8266513
"575",2308,"Strum","Louie","Willard",1890,"Valdosta","GA","M","White","Stetson University College of Law","Valdosta, GA","Strum, Louie",1890,-83.2784851,30.8327022
"576",2313,"Sullivan","George","F.",1886,"Shakopee","MN","M","White","University of Minnesota Law School","Shakopee, MN","Sullivan, George",1880,-93.5272861,44.7973962
"577",3324,"Sullivan","Jerry","Bartholomew",1859,"Mount Pleasant","IA","M","White","Read law","Mount Pleasant, IA","Sullivan, Jerry",1850,-91.5487714,40.9716959
"578",2315,"Sullivan","Philip","Leo",1889,"Marengo","IL","M","White","Loyola University Chicago School of Law","Marengo, IL","Sullivan, Philip",1880,-88.6084269,42.2486332
"579",2316,"Sutherland","George"," ",1862,"Buckinghamshire","England","M","White","University of Michigan Law School","Buckinghamshire, England","Sutherland, George",1860,-0.8127664,51.8072204
"580",2318,"Swaim","Hardress","Nathan",1890,"Zionsville","IN","M","White","DePauw University","Zionsville, IN","Swaim, Hardress",1890,-86.261937,39.9508733
"581",2320,"Swan","Thomas","Walter",1877,"Norwich","CT","M","White","Yale University","Norwich, CT","Swan, Thomas",1870,-72.0759105,41.5242649
"582",2323,"Sweeney","George","Clinton",1895,"Gardner","MA","M","White","Georgetown College Law School (now Georgetown University Law Center)","Gardner, MA","Sweeney, George",1890,-71.998133,42.5750883
"583",2698,"Swinford","Mac"," ",1899,"Cynthiana","KY","M","White","University of Virginia","Cynthiana, KY","Swinford, Mac",1890,-84.2941013,38.3903526
"584",2329,"Symes","John","Foster",1878,"Denver","CO","M","White","Yale University","Denver, CO","Symes, John",1870,-104.9847179,39.737567
"585",2331,"Taft","William","Howard",1857,"Cincinnati","OH","M","White","Yale College","Cincinnati, OH","Taft, William",1850,-84.5120196,39.1031182
"586",2344,"Tayler","Robert","Walker",1852,"Youngstown","OH","M","White","Western Reserve College (now Case Western Reserve University)","Youngstown, OH","Tayler, Robert",1850,-80.6495194,41.0997803
"587",2699,"Taylor","George","Caldwell",1885,"Greenville","TN","M","White","Tusculum College","Greenville, TN","Taylor, George",1880,-82.8309861,36.1631574
"588",2349,"Taylor","Robert","Love",1899,"Embreeville","TN","M","White","Milligan College","Embreeville, TN","Taylor, Robert",1890,-82.4584753,36.1812182
"589",2358,"Thacher","Thomas","Day",1881,"Tenafly","NJ","M","White","Yale University","Tenafly, NJ","Thacher, Thomas",1880,-73.9629154,40.9253766
"590",2365,"Thomas","Edwin","Stark",1872,"Woodstock","IL","M","White","Yale Law School","Woodstock, IL","Thomas, Edwin",1870,-88.4487021,42.3147436
"591",2366,"Thomas","Seth"," ",1873,"McConnelsville","OH","M","White","University of Iowa","McConnelsville, OH","Thomas, Seth",1870,-81.8531912,39.6486822
"592",2369,"Thomason","Robert","Ewing",1879,"Shelbyville","TN","M","White","Southwestern University","Shelbyville, TN","Thomason, Robert",1870,-86.4602717,35.483406
"593",2376,"Thompson","Joseph","Whitaker",1861,"Stroudsburg","PA","M","White","University of Pennsylvania Law School","Stroudsburg, PA","Thompson, Joseph",1860,-75.1946248,40.9867609
"594",2379,"Thompson","Roby","Calvin",1898,"Saltville","VA","M","White","University of Virginia School of Law","Saltville, VA","Thompson, Roby",1890,-81.7620635,36.8815031
"595",2382,"Thomson","W.","H. Seward",1856,"Beaver County","PA","M","White","Marshall College (now Marshall University)","Beaver County, PA","Thomson, W.",1850,-80.365865,40.6367812
"596",2385,"Thornton","Thomas","Patrick",1898,"Boston","MA","M","White","University of Detroit Law School (now University of Detroit Mercy School of Law)","Boston, MA","Thornton, Thomas",1890,-71.0597732,42.3584308
"597",2779,"Tilson","William","Josiah",1871,"Clear Branch","TN","M","White","Yale University","Clear Branch, TN","Tilson, William",1870,-85.2433218,35.2257269
"598",2391,"Timmerman","George","Bell",1881,"Edgefield County","SC","M","White","University of South Carolina School of Law","Edgefield County, SC","Timmerman, George",1880,-81.9534815,33.8015886
"599",2407,"Treanor","Walter","Emanuel",1883,"Loogootee","IN","M","White","Indiana University","Loogootee, IN","Treanor, Walter",1880,-86.9141695,38.6769945
"600",2410,"Trieber","Jacob"," ",1853,"Raschkow","Germany","M","White",,"Raschkow, Germany","Trieber, Jacob",1850,,
"601",2414,"Trimble","Thomas","Clark",1878,"Lonoke","AR","M","White","University of Arkansas Law Department","Lonoke, AR","Trimble, Thomas",1870,-91.8998611,34.7839795
"602",2415,"Trippet","Oscar","A.",1856,"Princeton","IN","M","White","University of Virginia School of Law","Princeton, IN","Trippet, Oscar",1850,-87.5675222,38.3553236
"603",2426,"Tuttle","Arthur","J.",1868,"Leslie","MI","M","White","University of Michigan","Leslie, MI","Tuttle, Arthur",1860,-84.4324695,42.4514252
"604",2427,"Tuttle","Elbert","Parr",1897,"Pasadena","CA","M","White","Cornell University","Pasadena, CA","Tuttle, Elbert",1890,-118.1445155,34.1477849
"605",2430,"Underwood","Emory","Marvin",1877,"Douglas County","GA","M","White","Vanderbilt University","Douglas County, GA","Underwood, Emory",1870,-84.7315563,33.7290225
"606",2432,"Underwood","Mell","Gilbert",1892,"Rose Farm","OH","M","White","Ohio State University College of Law","Rose Farm, OH","Underwood, Mell",1890,-82.0779201,39.7359018
"607",2440,"Van Devanter","Willis"," ",1859,"Marion","IN","M","White","Cincinnati Law School (now University of Cincinnati College of Law)","Marion, IN","Van Devanter, Willis",1850,-85.6591442,40.5583739
"608",2442,"Van Fleet","William","Cary",1852,"Maumee City","OH","M","White","Read law","Maumee City, OH","Van Fleet, William",1850,-83.6538244,41.5628294
"609",2446,"Van Orsdel","Josiah","Alexander",1860,"New Bedford","PA","M","White","Westminster College, New Wilmington, Pennsylvania","New Bedford, PA","Van Orsdel, Josiah",1860,-80.5050184,41.0972681
"610",2447,"Van Pelt","Robert"," ",1897,"Gosper County","NE","M","White","Doane College","Gosper County, NE","Van Pelt, Robert",1890,-99.8124935,40.4604851
"611",2450,"Van Valkenburgh","Arba","Seymour",1862,"Syracuse","NY","M","White","University of Michigan","Syracuse, NY","Van Valkenburgh, Arba",1860,-76.1474244,43.0481221
"612",2455,"Vaught","Edgar","Sullins",1873,"Cedar Springs","VA","M","White","Carson-Newman College","Cedar Springs, VA","Vaught, Edgar",1870,-81.2893937,36.8362777
"613",2457,"Veeder","Van","Vechten",1867,"Schenectady","NY","M","White","University of Virginia","Schenectady, NY","Veeder, Van",1860,-73.9395687,42.8142432
"614",2463,"Vinson","Frederick","Moore",1890,"Louisa","KY","M","White","Centre College","Louisa, KY","Vinson, Frederick",1890,-82.6032119,38.1142544
"615",2464,"Vogel","Charles","Joseph",1898,"Star Lake Township","MN","M","White","University of Minnesota Law School","Star Lake Township, MN","Vogel, Charles",1890,-95.8230142,46.5032439
"616",2471,"Waddill","Edmund"," ",1855,"Charles City County","VA","M","White","University of Virginia","Charles City County, VA","Waddill, Edmund",1850,-77.1485163,37.4018216
"617",2473,"Wade","Martin","Joseph",1861,"Burlington","VT","M","White","University of Iowa College of Law","Burlington, VT","Wade, Martin",1860,-73.212072,44.4758825
"618",3328,"Waite","Byron","Sylvester",1852,"Penfield","NY","M","White","University of Michigan","Penfield, NY","Waite, Byron",1850,-77.475551,43.1303407
"619",2481,"Walker","Richard","Wilde",1857,"Florence","AL","M","White","Washington and Lee University","Florence, AL","Walker, Richard",1850,-87.677251,34.79981
"620",2482,"Walker","Thomas","Glynn",1899," ","NJ","M","White","Fordham University School of Law"," , NJ","Walker, Thomas",1890,-74.4056612,40.0583238
"621",3326,"Walker","Thomas","Joseph",1877,"Plymouth","PA","M","White","Georgetown College (now Georgetown University)","Plymouth, PA","Walker, Thomas",1870,-75.9446428,41.2403596
"622",2486,"Wallace","William","Robert",1886,"Troy","TX","M","White","University of Oklahoma College of Law","Troy, TX","Wallace, William",1880,-97.3027824,31.2068421
"623",2488,"Waller","Curtis","Longino",1887,"Silver Creek","MS","M","White","Mississippi College","Silver Creek, MS","Waller, Curtis",1880,-89.9984156,31.605168
"624",2496,"Wanty","George","P.",1856,"Ann Arbor","MI","M","White","University of Michigan Law School","Ann Arbor, MI","Wanty, George",1850,-83.7430378,42.2808256
"625",2497,"Ward","Henry","Galbraith",1851,"New York","NY","M","White","University of Pennsylvania","New York, NY","Ward, Henry",1850,-74.0059413,40.7127837
"626",2504,"Waring","Julius","Waties",1880,"Charleston","SC","M","White","College of Charleston","Charleston, SC","Waring, Julius",1880,-79.9310512,32.7764749
"627",2505,"Warlick","Wilson"," ",1892,"Newton","NC","M","White","Catawba College","Newton, NC","Warlick, Wilson",1890,-81.2214708,35.6698552
"628",2506,"Warren","Earl"," ",1891,"Los Angeles","CA","M","White","University of California, Berkeley","Los Angeles, CA","Warren, Earl",1890,-118.2436849,34.0522342
"629",2515,"Watkins","Harry","Evans",1898,"Watson","WV","M","White","West Virginia University College of Law","Watson, WV","Watkins, Harry",1890,-80.1600795,39.4636965
"630",2516,"Watkins","Henry","Hitt",1866,"Laurens County","SC","M","White","Furman University","Laurens County, SC","Watkins, Henry",1860,-82.12784,34.5203466
"631",2519,"Watson","Albert","Leisenring",1876,"Montrose","PA","M","White","Amherst College","Montrose, PA","Watson, Albert",1870,-75.8771388,41.8339653
"632",2521,"Way","Luther","B.",1879,"Alamance County","NC","M","White","University of Virginia School of Law","Alamance County, NC","Way, Luther",1870,-79.4253776,36.0117388
"633",2523,"Webb","Edwin","Yates",1872,"Shelby","NC","M","White","Wake Forest College","Shelby, NC","Webb, Edwin",1870,-81.5356463,35.2923513
"634",2530,"Webster","John","Stanley",1877,"Cynthiana","KY","M","White","University of Michigan Law School","Cynthiana, KY","Webster, John",1870,-84.2941013,38.3903526
"635",2532,"Weick","Paul","Charles",1899,"Youngstown","OH","M","White","University of Cincinnati College of Law","Youngstown, OH","Weick, Paul",1890,-80.6495194,41.0997803
"636",2534,"Weinberger","Jacob"," ",1882," ","Austria-Hungary","M","White","University of Colorado Law School"," , Austria-Hungary","Weinberger, Jacob",1880,16.3096318,48.1882736
"637",3314,"Weller","George","Emery",1857,"St. Paul","MN","M","White","Columbia Law School","St. Paul, MN","Weller, George",1850,-93.0899578,44.9537029
"638",2546,"Welsh","George","Austin",1878,"Bay View","MD","M","White","Philadelphia Law School of Temple College","Bay View, MD","Welsh, George",1870,-76.2266721,38.9680563
"639",2547,"Welsh","Martin","Ignatius",1882,"San Jose","CA","M","White","Read law","San Jose, CA","Welsh, Martin",1880,-121.8949555,37.3393857
"640",2550,"West","DuVal"," ",1861,"Austin","TX","M","White","West Texas Military Academy (now Texas Military Institute)","Austin, TX","West, DuVal",1860,-97.7430608,30.267153
"641",2554,"West","Samuel","H.",1872,"Waubeck","IA","M","White","Read law","Waubeck, IA","West, Samuel",1870,-91.4651663,42.1658298
"642",2555,"Westenhaver","David","C.",1865,"Berkeley County","WV","M","White","Georgetown College Law School (now Georgetown University Law Center)","Berkeley County, WV","Westenhaver, David",1860,-78.0651931,39.4885604
"643",2556,"Westover","Harry","Clay",1894,"Williamstown","KY","M","White","University of Arizona College of Law","Williamstown, KY","Westover, Harry",1890,-84.5604977,38.6381245
"644",3273,"Whaley","Richard","Smith",1874,"Charleston","SC","M","White","University of Virginia School of Law","Charleston, SC","Whaley, Richard",1870,-79.9310512,32.7764749
"645",2559,"Wham","Fred","Louis",1884,"Marion County","IL","M","White","University of Illinois College of Law","Marion County, IL","Wham, Fred",1880,-88.864698,38.7313284
"646",2560,"Wheat","Alfred","Adams",1867,"Nashua","NH","M","White","Dartmouth College","Nashua, NH","Wheat, Alfred",1860,-71.467566,42.7653662
"647",3252,"Whitaker","Samuel","Estill",1886,"Winchester","TN","M","White","University of Chattanooga (now University of Tennessee at Chattanooga)","Winchester, TN","Whitaker, Samuel",1880,-86.1122071,35.1859163
"648",2569,"Whitehurst","George","William",1891,"Wauchula","FL","M","White","University of Florida College of Law","Wauchula, FL","Whitehurst, George",1890,-81.8114715,27.5472589
"649",2570,"Whitson","Edward"," ",1852,"Linn County","OR","M","White","Read law","Linn County, OR","Whitson, Edward",1850,-122.53401,44.4099768
"650",2577,"Wilbur","Curtis","Dwight",1867,"Boonesboro","IA","M","White","U.S. Naval Academy","Boonesboro, IA","Wilbur, Curtis",1860,-93.097702,41.8780025
"651",2580,"Wilkerson","James","Herbert",1869,"Savannah","MO","M","White","DePauw University","Savannah, MO","Wilkerson, James",1860,-94.8302451,39.9416606
"652",2582,"Wilkin","Robert","Nugen",1886,"New Philadelphia","OH","M","White","University of Virginia School of Law","New Philadelphia, OH","Wilkin, Robert",1880,-81.4456706,40.4897871
"653",2589,"Willard","Charles","Andrew",1857,"St. Johnsbury","VT","M","White","Dartmouth College","St. Johnsbury, VT","Willard, Charles",1850,-72.0151183,44.4192627
"654",2593,"Williams","Ashton","Hilliard",1891,"Lake City","SC","M","White","University of South Carolina","Lake City, SC","Williams, Ashton",1890,-79.7553451,33.8709958
"655",2601,"Williams","Robert","Lee",1868,"Brundidge","AL","M","White","Read law","Brundidge, AL","Williams, Robert",1860,-85.8160567,31.7201615
"656",3253,"Williams","Thomas","Sutler",1872,"Louisville","IL","M","White","Austin College, Effingham, Illinois","Louisville, IL","Williams, Thomas",1870,-88.5025485,38.772269
"657",3315,"Wilson","David","John",1887,"Midway","UT","M","White","Brigham Young University","Midway, UT","Wilson, David",1880,-111.4743545,40.5121772
"658",2608,"Wilson","James","Clifton",1874,"Palo Pino","TX","M","White","Weatherford College","Palo Pino, TX","Wilson, James",1870,-98.2987543,32.7679859
"659",2610,"Wilson","Scott"," ",1870,"Falmouth","ME","M","White","Bates College","Falmouth, ME","Wilson, Scott",1870,-70.241944,43.729444
"660",2615,"Wing","Francis","Joseph",1850,"North Bloomfield","OH","M","White","Harvard University","North Bloomfield, OH","Wing, Francis",1850,-80.868421,41.4642221
"661",2619,"Winslow","Francis","Asbury",1866,"Ossining","NY","M","White","City College of New York","Ossining, NY","Winslow, Francis",1860,-73.8615246,41.1628731
"662",2627,"Witmer","Charles","B.",1862,"Northumberland County","PA","M","White","Central Pennsylvania Business School (now Central Penn College)","Northumberland County, PA","Witmer, Charles",1860,-76.6874701,40.8674339
"663",2634,"Wolverton","Charles","Edwin",1851,"Des Moines County","IA","M","White","Christian College (now Western Oregon State University)","Des Moines County, IA","Wolverton, Charles",1850,-91.1736994,40.9123374
"664",2642,"Woodbury","Peter"," ",1899,"Bedford","NH","M","White","Harvard University","Bedford, NH","Woodbury, Peter",1890,-71.5132008,42.9463291
"665",2644,"Woodrough","Joseph","William",1873,"Cincinnati","OH","M","White","Heidelberg University, Germany","Cincinnati, OH","Woodrough, Joseph",1870,-84.5120196,39.1031182
"666",2646,"Woods","Charles","Albert",1852,"Darlington","SC","M","White","Wofford College","Darlington, SC","Woods, Charles",1850,-79.8761741,34.2998762
"667",2651,"Woodward","Charles","Edgar",1876,"New Salem","PA","M","White","Northwestern University","New Salem, PA","Woodward, Charles",1870,-76.7894151,39.9014882
"668",2653,"Woolley","Victor","Baynard",1867,"Wilmington","DE","M","White","Delaware College (now University of Delaware)","Wilmington, DE","Woolley, Victor",1860,-75.5397878,39.7390721
"669",2654,"Woolsey","John","Munro",1877,"Aiken","SC","M","White","Yale University","Aiken, SC","Woolsey, John",1870,-81.7195533,33.5604168
"670",2656,"Wortendyke","Reynier","Jacob",1895,"Jersey City","NJ","M","White","Princeton University","Jersey City, NJ","Wortendyke, Reynier",1890,-74.0776417,40.7281575
"671",2658,"Wright","Daniel","Thew",1864,"Riverside","OH","M","White","Cincinnati Law School (now University of Cincinnati College of Law)","Riverside, OH","Wright, Daniel",1860,-84.1241047,39.779781
"672",2666,"Wyche","Charles","Cecil",1885,"Prosperity","SC","M","White","The Citadel","Prosperity, SC","Wyche, Charles",1880,-81.5331602,34.2093079
"673",2668,"Wyman","Alfred","Lee",1874,"Yankton","SD","M","White","Read law","Yankton, SD","Wyman, Alfred",1870,-97.3972813,42.8711088
"674",2670,"Yankwich","Leon","Rene",1888,"Jassy","Romania","M","White","Willamette University College of Law","Jassy, Romania","Yankwich, Leon",1880,27.590278,47.156944
"675",2672,"Youmans","Frank","A.",1860,"near Jefferson City","MO","M","White","University of Missouri","near Jefferson City, MO","Youmans, Frank",1860,-92.1735164,38.5767017
"676",3316,"Young","George","Morley",1870,"Lakelet","Canada","M","White","University of Minnesota Law School","Lakelet, Canada","Young, George",1870,-81.064238,43.945269
"677",2679,"Youngdahl","Luther","Wallace",1896,"Minneapolis","MN","M","White","Gustavus Adolphus College","Minneapolis, MN","Youngdahl, Luther",1890,-93.26667,44.983334
